"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Get-AzureADUserRegisteredDevice","AzureAD","Get-MgUserRegisteredDevice","Microsoft.Graph.Users","Directory.Read.All;Directory.ReadWrite.All;User.Read;User.Read.All;User.ReadWrite.All","GET /users/{user-id}/registeredDevices","True","False"
"Remove-MsolDomain","MSOnline","Remove-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","DELETE /domains/{domain-id}","True","False"
"Add-MsolRoleMember","MSOnline","New-MgDirectoryRoleMemberByRef","Microsoft.Graph.Identity.DirectoryManagement","RoleManagement.ReadWrite.Directory","POST /directoryRoles/{directoryRole-id}/members/$ref","True","False"
"Remove-AzureADApplicationProxyApplication","AzureAD","","","","","False","False"
"New-AzureADMSRoleDefinition","AzureAD","New-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","CloudPC.ReadWrite.All;DeviceManagementRBAC.ReadWrite.All;Directory.ReadWrite.All;RoleManagement.ReadWrite.CloudPC;RoleManagement.ReadWrite.Directory","POST /roleManagement/directory/roleDefinitions","True","False"
"Remove-AzureADDevice","AzureAD","Remove-MgDevice","Microsoft.Graph.Identity.DirectoryManagement","Directory.AccessAsUser.All","DELETE /devices/{device-id}","True","False"
"Get-AzureADApplicationKeyCredential","AzureAD","Get-MgApplication","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All","GET /applications","True","False"
"Add-AzureADMSApplicationOwner","AzureAD","New-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","POST /applications/{application-id}/owners/$ref","True","False"
"Set-MsolUserLicense","MSOnline","Set-MgUserLicense","Microsoft.Graph.Users.Actions","Directory.ReadWrite.All;User.ReadWrite.All","POST /users/{user-id}/assignLicense","True","False"
"Set-AzureADMSApplicationVerifiedPublisher","AzureAD","Set-MgApplicationVerifiedPublisher","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /applications/{application-id}/setVerifiedPublisher","True","False"
"Convert-MsolDomainToStandard","MSOnline","Remove-MgDomainFederationConfiguration","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","DELETE /domains/{domain-id}/federationConfiguration/{internalDomainFederation-id}","True","False"
"Add-AzureADMSScopedRoleMembership","AzureAD","New-MgDirectoryRoleScopedMember","Microsoft.Graph.Identity.DirectoryManagement","","POST /directoryRoles/{directoryRole-id}/scopedMembers","True","False"
"Set-MsolCompanyAllowedDataLocation","MSOnline","","","","","False","False"
"Get-AzureADUserOAuth2PermissionGrant","AzureAD","Get-MgUserOauth2PermissionGrant","Microsoft.Graph.Users","DelegatedPermissionGrant.ReadWrite.All;Directory.Read.All;User.ReadBasic.All","GET /users/{user-id}/oauth2PermissionGrants","True","False"
"Redo-MsolProvisionGroup","MSOnline","","","","","False","False"
"Set-MsolDeviceRegistrationServicePolicy","MSOnline","","","","","False","False"
"Remove-AzureADMSRoleAssignment","AzureAD","Remove-MgRoleManagementDirectoryRoleAssignment","Microsoft.Graph.DeviceManagement.Enrolment","EntitlementManagement.ReadWrite.All;RoleManagement.ReadWrite.Directory","DELETE /roleManagement/directory/roleAssignments/{unifiedRoleAssignment-id}","True","False"
"Restore-AzureADDeletedApplication","AzureAD","","","","","False","False"
"Get-AzureADDomainVerificationDnsRecord","AzureAD","Get-MgDomainVerificationDnsRecord","Microsoft.Graph.Identity.DirectoryManagement","Domain.Read.All;Domain.ReadWrite.All","GET /domains/{domain-id}/verificationDnsRecords","True","False"
"New-AzureADServicePrincipal","AzureAD","New-MgServicePrincipal","Microsoft.Graph.Applications","Application.ReadWrite.All","POST /servicePrincipals","True","False"
"Remove-AzureADMSConditionalAccessPolicy","AzureAD","Remove-MgIdentityConditionalAccessPolicy","Microsoft.Graph.Identity.SignIns","Policy.Read.All;Policy.ReadWrite.ConditionalAccess","DELETE /identity/conditionalAccess/policies/{conditionalAccessPolicy-id}","True","False"
