"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Set-MsolCompanyContactInformation","MSOnline","Update-MgOrganization","","MarketingNotificationEmails","MarketingNotificationEmails","","","False","False"
"Set-MsolCompanyContactInformation","MSOnline","Update-MgOrganization","","TenantId","","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","RoleObjectId","","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","Requirements","","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","RequirementUnsetOnly","","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","SearchString","","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","MaxResults","","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","All","All","","","False","False"
"Get-MsolUserByStrongAuthentication","MSOnline","Get-MgRoleManagementDirectoryRoleAssignmentScheduleRequest","","TenantId","","","","False","False"
"Remove-AzureADDeviceRegisteredUser","AzureAD","","","ObjectId","","","","False","False"
"Remove-AzureADDeviceRegisteredUser","AzureAD","","","UserId","","","","False","False"
"Remove-AzureADMSDeletedDirectoryObject","AzureAD","Remove-MgDirectoryObject","","Id","","","","False","False"
"Remove-MsolForeignGroupFromRole","MSOnline","","","ForeignGroupObjectId","","","","False","False"
"Remove-MsolForeignGroupFromRole","MSOnline","","","ForeignCompanyObjectId","","","","False","False"
"Remove-MsolForeignGroupFromRole","MSOnline","","","RoleObjectId","","","","False","False"
"Remove-MsolForeignGroupFromRole","MSOnline","","","TenantId","","","","False","False"
"Connect-MsolService","MSOnline","Connect-MgGraph","","Credential","","","","False","False"
"Connect-MsolService","MSOnline","Connect-MgGraph","","AdGraphAccessToken","","","","False","False"
"Connect-MsolService","MSOnline","Connect-MgGraph","","MsGraphAccessToken","","","","False","False"
"Connect-MsolService","MSOnline","Connect-MgGraph","","AzureEnvironment","","","","False","False"
"Set-AzureADApplicationProxyApplicationCustomDomainCertificate","AzureAD","","","ObjectId","","","","False","False"
"Set-AzureADApplicationProxyApplicationCustomDomainCertificate","AzureAD","","","PfxFilePath","","","","False","False"
"Set-AzureADApplicationProxyApplicationCustomDomainCertificate","AzureAD","","","Password","","","","False","False"
"Get-AzureADOAuth2PermissionGrant","AzureAD","Get-MgOauth2PermissionGrant","","All","All","","","False","False"
"Get-AzureADOAuth2PermissionGrant","AzureAD","Get-MgOauth2PermissionGrant","","Top","Top","","","False","False"
"Get-AzureADUserExtension","AzureAD","Get-MgUserExtension","","ObjectId","","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","PolicyId","","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","Id","Id","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","DisplayName","DisplayName","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","State","State","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","Conditions","Conditions","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","GrantControls","GrantControls","","","False","False"
"Set-AzureADMSConditionalAccessPolicy","AzureAD","Update-MgIdentityConditionalAccessPolicy","","SessionControls","SessionControls","","","False","False"
"Set-AzureADUserThumbnailPhoto","AzureAD","Set-MgUserPhotoContent","","ObjectId","","","","False","False"
"Set-AzureADUserThumbnailPhoto","AzureAD","Set-MgUserPhotoContent","","FileStream","","","","False","False"
"Set-AzureADUserThumbnailPhoto","AzureAD","Set-MgUserPhotoContent","","FilePath","","","","False","False"
"Set-AzureADUserThumbnailPhoto","AzureAD","Set-MgUserPhotoContent","","ImageByteArray","","","","False","False"
